0,15,2
1,15,4
2,15,6
3,15,2
4,15,0
5,15,2
6,15,4
7,15,6
8,15,2
9,15,0
10,15,2
11,15,4
12,15,6
13,15,2
14,15,0
15,15,2
16,15,4
17,15,6
18,15,2
19,15,0
20,15,2
21,15,4
22,15,6
23,15,2
24,15,0
25,15,2
26,15,4
27,15,6
28,15,2
29,15,0
30,15,2
31,15,4
32,15,6
33,15,2
34,15,0
35,15,2
36,15,4
37,15,6
38,15,2
39,15,0
40,15,2
41,15,4
42,15,6
43,15,2
44,15,0
45,15,2
46,15,4
47,15,6
48,15,2
49,15,0
50,15,2
51,15,4
52,15,6
53,15,2
54,15,0
55,15,2
56,15,4
57,15,6
58,15,2
59,15,0
60,15,2
61,15,4
62,15,6
63,15,2
64,15,0
65,15,2
66,15,4
67,15,6
68,15,2
69,15,0
70,15,2
71,15,4
72,15,6
73,15,2
74,15,0
75,15,2
76,15,4
77,15,6
78,15,2
79,15,0
80,15,2
81,15,4
82,15,6
83,15,2
84,15,0
85,15,2
86,15,4
87,15,6
88,15,2
89,15,0
90,15,2
91,15,4
92,15,6
93,15,2
94,15,0
95,15,2
96,15,4
97,15,6
98,15,2
99,15,0
